originalText,label_class,label
前段时间总是感觉胸闷，有时候还心慌乏力，去医院检查发现得了缩窄性心包炎，不是很了解这个病，以前也没有听说过，所以想知道缩窄性心包炎的发病特点是什么？,临床表现(病症表现),0
老人，早晨起来晕，血压高还吐，现在血压不高了，晕，浑身没劲怎么回事,病因,10
肚子好硬怎么回事？,病因,10
腹痛是什么引起的,病因,10
经常头痛，气色不好，身体质量也变差了有心脏病，请问怎么用药？,治疗方法,8
一使劲肛门处剧痛，鼓起了个小气泡，用手往里送了送，好受点了，之后，一摸在肛门里约四五公分处有个肉球，是得痔疮了吗？应怎么办？,其他,2
老是盗汗失眠、腰酸背痛，在性事方面也不是很如意,治疗方法,8
李医生您好：我一个月前在三甲医院检查出病毒心肌炎，出院后在家休息到现在，还感到胸口不适，一直都服曲美他嗪，果糖，辅酶Q10，请问医生该怎么做,临床表现(病症表现),0
你好，我想请问一下，肾结石每天可以喝豆浆吗,病症禁忌,11
慢阻肺是什么病，该怎么治疗？,其他,2
我摔了一下腿磕破了用了安尔碘皮肤消毒液后用云南白药粉剂发热特别疼咋回事,病因,10
你好，在哪能买三唑仑,其他,2
腹痛是怎么回事啊？,病因,10
心动过缓55至60脉动伴有心前区疼痛和心悸现象。吃心宝丸可否？,适用症,14
有胃病怎么办？,治疗方法,8
3月21号例假干净，4月份没来例假，5月5号测的没怀孕，但测了排卵在排卵期，5-6号同房没避孕，现在有点感冒，体温升高，可以吃感冒药嘛,病症禁忌,11
长期便血，外面有肉坨，生了白色的肉粒，肛门有脉搏跳动一样，是什么原因？是肠恶变吗？,其他,2
脊髓蛛网膜炎有哪些并发症？,相关病症,12
有冠心病和高血压的患者喝古汉养生精可以吗？,适用症,14
你好，我想买盐酸芬氟拉明片，有吗？,其他,2
肾上腺素95比参考值高。这是什么意思,其他,2
坐着总有便意大便排不尽,其他,2
是用来治疗冠心病的该药，是我的主治医生给我开的药的，说该药是较多人在服用的。,其他,2
请问壮腰补肾丸要吃多久，这个药也治疗骨质疏松吗？,其他,2
哮喘不可以吃哪些食物,病症禁忌,11
男人尿不尽吃什么药,治疗方法,8
突然之间就是咳嗽，先开始很剧烈后来好一点了咳嗽痰带点血丝。,临床表现(病症表现),0
你好我离婚后精神状况越来越差了一直都有吃医生的抗抑郁药能和...,其他,2
9月10最后一次月经，9.23-9.29号服用了安脑丸，盐酸氟桂利嗪片一周治疗大脑供血不足的，这个孩子能要吗？,临床表现(病症表现),0
打喷嚏、流涕、咳嗽剧烈(尤其晚上)，气紧，嘶鸣声。2018-2019春季均出现上述症状。,临床表现(病症表现),0
昨晚上就磨破了皮，今天早上发现留黄水了，用什么药消毒呢？,治疗方法,8
"你好,请问患了膀胱炎要吃什么药治疗?",治疗方法,8
我婆婆特别喜欢跳广场舞，但是最近一段时间不见她出门，她说头晕眼花，我带她去看医生，医生说是窦性心动过缓，昨天晚上突然发现她小腿肿的很粗，我想问一下窦性心动过缓能引起腿肿吗？,相关病症,12
孕妇怀孕两个月头疼怎么办？我才怀孕两个月，最近一直觉得头疼，宝妈们有什么好的办法吗？,治疗方法,8
儿子最近总说身体不舒服，我一开始也没放在心上，以为他是偷懒不想学习，突然有天接到老师的电话说儿子在学校昏倒了，我赶紧赶去医院，被告知他患上了房颤，我想知道，青少年房颤的原因是什么？,病因,10
小便刺痛，小便次数多,其他,2
痔疮手术痔核脱落会出血吗,其他,2
三叉神经营养性损害要做哪些检查,化验/体检方案,3
你好我以前是用胰岛素控制血糖的这几天医生让我改为药物治疗我吃了有半月了血糖一直不稳定请问是哪里出了问题,病因,10
前五天左右感冒刚好，紧接着就是喉咙痛，只是左边痛，喝水都痛，去药店拿了两次消炎药吃完了，但总感觉一坐下或睡觉前总尿濒尿不尽？,临床表现(病症表现),0
我最近感觉头痛耳鸣，心悸乏力，是什么原因引起的啊？需要去医院检查吗？可以服用银杏酮酯分散片改善病情吗？,其他,2
请问脑发育不全性脑积水症状是什么,临床表现(病症表现),0
月经期间总是腹痛怎么办,治疗方法,8
你好，我想大概问一下啊劳拉西泮这个药好不好用的呢医生？要是可以的话我希望能够买一些,适用症,14
我奶奶85岁了，最近感觉头顶到脖子部位都很痛，尤其是太阳穴痛得更加厉害，该怎么办？,治疗方法,8
怎么强迫症,定义,4
早期肿瘤都有哪些症状？拉稀是吗,临床表现(病症表现),0
两个月前有一次休克的情况，最近总是觉得心绞痛，不久体检查出自己患上了缩窄性心包炎，最近医生说我开始积液了，请问缩窄性心包炎积液性质是什么？,定义,4
颅内转移瘤有什么饮食禁忌？,病症禁忌,11
糖尿病人能吃海狗办吗糖尿病人能吃海狗丸吗,病症禁忌,11
我伯伯因为二尖瓣关闭不全已经在医院待了快一个月了，感觉效果不是很好，感觉他最近呼吸困难更严重了，我就想问，二尖瓣关闭不全治疗效果不好会引起心衰吗？,临床表现(病症表现),0
你好，我想问一下稳心颗粒，换了主动脉瓣有早搏，能用吗？,适用症,14
最近老想睡觉，1天24都能睡着，有时还有点头疼，胸口有时也会像针扎的一样，这是不是低血压的症状,病因,10
痔疮多年，反复发作，肛门肿了，想自行治疗，用什么药物好？,治疗方法,8
小孩大便干燥怎么办啊？,治疗方法,8
您好，肝郁气滞会累及心悸心虚吗？,相关病症,12
如何面对强迫症,其他,2
痔疮，不严重，脱出了，不流血，不疼不痒，打针费用多少？多久治愈？治愈后患处和以前有什么不一样？,其他,2
我妈妈是患上了甲状腺结节的，原本是复查一次就好的，但是现在是有疼疼的情况了。,病因,10
感觉大便有些出血，不过不太厉害，大便干结或者是吃辛辣的食品后会厉害些，检查为内痔，但不太想手术，吃药能治愈吗？,治疗方法,8
婴幼儿腹泻原因,病因,10
你好，我想大概问一下啊那里有买的？？大药店注射用重组人生长激素,其他,2
疑神疑鬼，心神不宁，焦虑,临床表现(病症表现),0
痔疮肿了，出来回不去，严重吗？要手术吗？,其他,2
用马应龙麝香痔疮膏后外痔出血了是怎么回事？有什么该注意的？,其他,2
最佳的治疗直肠炎的药物是什么啊,治疗方法,8
请问结肠癌低分化期是晚期吗,定义,4
镜检结果是得了结肠息肉，求有效的治疗方法,治疗方法,8
记忆力逐渐减退，反应越发迟钝，总感觉大脑混沌，有劳为我推荐个效果好的药来服用,治疗方法,8
女朋友最近总是揉自己的胸部，问她说自己的右胸有点疼，也说不出是什么原因，就是感觉什么东西在磨一样，请问，女朋友右胸痛怎么办？,治疗方法,8
脊髓蛛网膜炎如何治疗？,治疗方法,8
你好，我想请问一下佐匹克隆片这个药可以用于治疗什么？,适用症,14
怎么治疗直肠炎啊,治疗方法,8
怎么治疗直肠炎啊,治疗方法,8
支气管扩张是怎么引起的？严重吗？,其他,2
病人长期患有支气管扩张，浓绿色黄痰且排痰困难十几年。,临床表现(病症表现),0
资阳最好的癫痫病医院有哪几家?儿子从小患有癫痫病，现在正在吃药。脑电图、心电图都做过，每天也按时吃药，控制的还是挺好的，都长大了，到现在还是没有完全根治，根治癫痫的具体方法是什么？请问癫痫能治愈吗？,其他,2
产后手腕疼怎么办？请医生推断一下是什么问题啊？,其他,2
我今年43岁了，我这段时间感觉身体有些难受，就到医院检查了一下，检查结果是患上了间质性肺炎，请问间质性肺炎怎么引起的？,病因,10
颅骨骨膜窦是一种什么病？,定义,4
孕妇有风湿关节炎，能汉有给她使用云南白药气雾剂？,适用症,14
医生您好，我想请问一下左心室肥厚应该怎样治疗呀？谢谢。,治疗方法,8
多发性脑梗塞的病因是什么？,病因,10
我舅舅肺气肿严重听人说吃孟鲁司特钠片好，不知是否可以吃。他今年七十岁了。,适用症,14
！女！24岁！长期便秘！前年怀孕后第三个月开始痔疮！去年1月分生孩子后！9月分动过混合痔疮切除手术！但手术后还是便秘的像以前一样很严重！我怎么治疗！,治疗方法,8
母乳宝宝会便秘吗？？,临床表现(病症表现),0
请问孩子晚上咳嗽的原因？,病因,10
我二爸今年53岁了，有多年高血压病史，最近一次检查发现心脏离心性肥大，我看着彩超图心脏明显增大，我想问一下离心性肥大和心脏扩大有什么区别吗？,其他,2
手术后排便有包是怎么了？严重吗,病因,10
听家人说今天叔叔在家里突然晕倒了，全身抽搐，口吐白沫，等他醒来后问他，连他自己都不知道怎么回事，出现短暂的意识丧失，家人一下手足无措,其他,2
我想请问一下，双肾结石大腿根部伴有灼痛戎刨缬，怎么办,临床表现(病症表现),0
疏风定痛丸治疗风湿关节痛的效果怎么样呢？,适用症,14
孩子的脚趾上的血管瘤四厘米，是否可以做微创手术，手术费约多少钱。谢谢。内蒙古婴儿大脚趾血管瘤怎么治？,治疗方法,8
心脏上怎么会长血管瘤,病因,10
现在不知道为什么一咳嗽就出尿,临床表现(病症表现),0
颅骨缺损综合征应注意什么,病症禁忌,11
你好，我想请问一下，我窦性心动过缓53次/分，能用心宝丸吗，现感觉乏力,适用症,14
